,title,company,summary
10,System Analyst | IKEA Service Office | Festival PLAZA Jebel...,IKEA,"Gather and effectively use data to deliver continuous improvement.Utilizing computer technology used for communication, data gathering ,application testing and…PostedPosted 10 days ago·More...View all IKEA jobs - Dubai jobsSalary Search: System Analyst | IKEA Service Office | Festival PLAZA Jebel Ali | Dubai salaries in DubaiSee popular questions & answers about IKEA"
11,Finance Analyst,Majid Al Futtaim,Acquire data from primary or secondary data sources and maintain databases.Strong understanding of data modeling.Consistency and comparability of reports.PostedPosted 5 days ago·More...View all Majid Al Futtaim jobs - Dubai jobsSalary Search: Finance Analyst salaries in DubaiSee popular questions & answers about Majid Al Futtaim
12,Data Analyst,Gadget Express,"Problem solving with the schools data and identifying solutions.To analyse data, solve problems and prepare reports as required.PostedPosted 30+ days ago·More...View all Gadget Express jobs - Dubai jobsSalary Search: Data Analyst salaries in Dubai"
13,Analyst Logistics Performance,Talabat,"Get hands dirty with the data extraction from big data sources like AWS Redshift, Big Query, etc.Optimise our KPI dashboard with continuous flow of data.PostedPosted 6 days ago·More...View all Talabat jobs - Dubai jobsSalary Search: Analyst Logistics Performance salaries in DubaiSee popular questions & answers about Talabat"
14,Financial Analyst - Dubai,Aspen Pharma Group,"Prepare, review and present variety of complex financial data for review by Management along with commentary and recommendations.PostedPosted 14 days ago·More...View all Aspen Pharma Group jobs - Dubai jobsSalary Search: Financial Analyst - Dubai salaries in Dubai"
15,Junior Data Analyst - Weber Shandwick (Powered by Qureos),Qureos,"Ability to collect data from multiple sources, generate relevant data for analysis, and to interpret collected data using statistical tools.Posted20 days ago·More...View all Qureos jobs - Dubai jobsSalary Search: Junior Data Analyst - Weber Shandwick (Powered by Qureos) salaries in Dubai"
16,Data Analyst,Hiring organization,Do data mining and modelling to create data modelling and analyses of both structured and unstructured data.CRM packaged software Data warehouse and data lakes…Posted30+ days ago·More...View all Hiring organization jobs - Dubai jobsSalary Search: Data Analyst salaries in Dubai
17,2023 Corporate & Investment Bank - Investment Banking Analys...,"JPMorgan Chase Bank, N.A.","Analysing market data, building detailed financial models and preparing client presentations for mergers and acquisitions, leveraged buyouts and capital markets…Posted26 days ago·More...View all JPMorgan Chase Bank, N.A. jobs - Dubai jobsSalary Search: 2023 Corporate & Investment Bank - Investment Banking Analyst Program - Off-Cycle Internship (January-June) - Dubai salaries in DubaiSee popular questions & answers about JPMorgan Chase Bank, N.A."
18,Data Analyst and BI Professional,farnek.com,"Good background in the analysis of employee data and be able to produce reports from the system which are relevant to the company in terms of productivity, cost…Posted30+ days ago·More...View all farnek.com jobs - Dubai jobsSalary Search: Data Analyst and BI Professional salaries in Dubai"
19,Analyst – Trade Operations,Barclays,"The trade operations team manages the day to day functioning of Trade and Working capital requirement of Corporate, FI and NBFI clients by offering various…Posted3 days ago·More...View all Barclays jobs - Dubai jobsSalary Search: Analyst – Trade Operations salaries in DubaiSee popular questions & answers about Barclays"
20,Business Intelligence Analyst (Based in Dubai),Ingram Micro,"You are going to handle data management skills such as analysis, data quality, maintenance, and master data cleanup.You will analyze and interpret trends.Posted2 days ago·More...View all Ingram Micro jobs - Dubai jobsSalary Search: Business Intelligence Analyst (Based in Dubai) salaries in DubaiSee popular questions & answers about Ingram Micro"
21,Financial Analyst,pladis,Coordinate with respective departments to manage all the data sets for timely and accurate financial analysis and reporting.Posted7 days ago·More...View all pladis jobs - Dubai jobsSalary Search: Financial Analyst salaries in Dubai
22,Supply Chain Analyst,Bacardi,Compile and analyze data & review past sales data to determine trends & improve forecast bias of customers.High level of detail-orientation and data accuracy.Posted30+ days ago·More...View all Bacardi jobs - Dubai jobsSalary Search: Supply Chain Analyst salaries in Dubai
23,Data Analyst Lead - Binance (Powered by Qureos),Qureos,"Analyze and interpret large (PB-scale) volumes of transactional, operational and customer data using proprietary and open source data tools, platforms and…Posted20 days ago·More...View all Qureos jobs - Dubai jobsSalary Search: Data Analyst Lead - Binance (Powered by Qureos) salaries in Dubai"
24,FINANCIAL/BUSINESS ANALYST,SSC Perfumes & Cosmetics,Develop the brand analysis reporting suite based on data.Systems & data management experience in a finance/commercial environment.Posted24 days ago·More...View all SSC Perfumes & Cosmetics jobs - Dubai jobsSalary Search: FINANCIAL/BUSINESS ANALYST salaries in DubaiSee popular questions & answers about SSC Perfumes & Cosmetics
25,System Analyst | IKEA Service Office | Festival PLAZA Jebel...,IKEA,"Gather and effectively use data to deliver continuous improvement.Utilizing computer technology used for communication, data gathering ,application testing and…Posted10 days ago·More...View all IKEA jobs - Dubai jobsSalary Search: System Analyst | IKEA Service Office | Festival PLAZA Jebel Ali | Dubai salaries in DubaiSee popular questions & answers about IKEA"
26,Finance Analyst,Majid Al Futtaim,Acquire data from primary or secondary data sources and maintain databases.Strong understanding of data modeling.Consistency and comparability of reports.Posted5 days ago·More...View all Majid Al Futtaim jobs - Dubai jobsSalary Search: Finance Analyst salaries in DubaiSee popular questions & answers about Majid Al Futtaim
27,Data Analyst,Gadget Express,"Problem solving with the schools data and identifying solutions.To analyse data, solve problems and prepare reports as required.Posted30+ days ago·More...View all Gadget Express jobs - Dubai jobsSalary Search: Data Analyst salaries in Dubai"
28,Analyst Logistics Performance,Talabat,"Get hands dirty with the data extraction from big data sources like AWS Redshift, Big Query, etc.Optimise our KPI dashboard with continuous flow of data.Posted6 days ago·More...View all Talabat jobs - Dubai jobsSalary Search: Analyst Logistics Performance salaries in DubaiSee popular questions & answers about Talabat"
29,Financial Analyst - Dubai,Aspen Pharma Group,"Prepare, review and present variety of complex financial data for review by Management along with commentary and recommendations.Posted14 days ago·More...View all Aspen Pharma Group jobs - Dubai jobsSalary Search: Financial Analyst - Dubai salaries in Dubai"
30,Junior Data Analyst - Weber Shandwick (Powered by Qureos),Qureos,"Ability to collect data from multiple sources, generate relevant data for analysis, and to interpret collected data using statistical tools.PostedPosted 20 days ago·More...View all Qureos jobs - Dubai jobsSalary Search: Junior Data Analyst - Weber Shandwick (Powered by Qureos) salaries in Dubai"
31,Data Analyst,Hiring organization,Do data mining and modelling to create data modelling and analyses of both structured and unstructured data.CRM packaged software Data warehouse and data lakes…PostedPosted 30+ days ago·More...View all Hiring organization jobs - Dubai jobsSalary Search: Data Analyst salaries in Dubai
32,2023 Corporate & Investment Bank - Investment Banking Analys...,"JPMorgan Chase Bank, N.A.","Analysing market data, building detailed financial models and preparing client presentations for mergers and acquisitions, leveraged buyouts and capital markets…PostedPosted 26 days ago·More...View all JPMorgan Chase Bank, N.A. jobs - Dubai jobsSalary Search: 2023 Corporate & Investment Bank - Investment Banking Analyst Program - Off-Cycle Internship (January-June) - Dubai salaries in DubaiSee popular questions & answers about JPMorgan Chase Bank, N.A."
33,Data Analyst and BI Professional,farnek.com,"Good background in the analysis of employee data and be able to produce reports from the system which are relevant to the company in terms of productivity, cost…PostedPosted 30+ days ago·More...View all farnek.com jobs - Dubai jobsSalary Search: Data Analyst and BI Professional salaries in Dubai"
34,Analyst – Trade Operations,Barclays,"The trade operations team manages the day to day functioning of Trade and Working capital requirement of Corporate, FI and NBFI clients by offering various…PostedPosted 3 days ago·More...View all Barclays jobs - Dubai jobsSalary Search: Analyst – Trade Operations salaries in DubaiSee popular questions & answers about Barclays"
35,Business Intelligence Analyst (Based in Dubai),Ingram Micro,"You are going to handle data management skills such as analysis, data quality, maintenance, and master data cleanup.You will analyze and interpret trends.PostedPosted 2 days ago·More...View all Ingram Micro jobs - Dubai jobsSalary Search: Business Intelligence Analyst (Based in Dubai) salaries in DubaiSee popular questions & answers about Ingram Micro"
36,Financial Analyst,pladis,Coordinate with respective departments to manage all the data sets for timely and accurate financial analysis and reporting.PostedPosted 7 days ago·More...View all pladis jobs - Dubai jobsSalary Search: Financial Analyst salaries in Dubai
37,Supply Chain Analyst,Bacardi,Compile and analyze data & review past sales data to determine trends & improve forecast bias of customers.High level of detail-orientation and data accuracy.PostedPosted 30+ days ago·More...View all Bacardi jobs - Dubai jobsSalary Search: Supply Chain Analyst salaries in Dubai
38,Data Analyst Lead - Binance (Powered by Qureos),Qureos,"Analyze and interpret large (PB-scale) volumes of transactional, operational and customer data using proprietary and open source data tools, platforms and…PostedPosted 20 days ago·More...View all Qureos jobs - Dubai jobsSalary Search: Data Analyst Lead - Binance (Powered by Qureos) salaries in Dubai"
39,FINANCIAL/BUSINESS ANALYST,SSC Perfumes & Cosmetics,Develop the brand analysis reporting suite based on data.Systems & data management experience in a finance/commercial environment.PostedPosted 24 days ago·More...View all SSC Perfumes & Cosmetics jobs - Dubai jobsSalary Search: FINANCIAL/BUSINESS ANALYST salaries in DubaiSee popular questions & answers about SSC Perfumes & Cosmetics
40,System Analyst | IKEA Service Office | Festival PLAZA Jebel...,IKEA,"Gather and effectively use data to deliver continuous improvement.Utilizing computer technology used for communication, data gathering ,application testing and…PostedPosted 10 days ago·More...View all IKEA jobs - Dubai jobsSalary Search: System Analyst | IKEA Service Office | Festival PLAZA Jebel Ali | Dubai salaries in DubaiSee popular questions & answers about IKEA"
41,Finance Analyst,Majid Al Futtaim,Acquire data from primary or secondary data sources and maintain databases.Strong understanding of data modeling.Consistency and comparability of reports.PostedPosted 5 days ago·More...View all Majid Al Futtaim jobs - Dubai jobsSalary Search: Finance Analyst salaries in DubaiSee popular questions & answers about Majid Al Futtaim
42,Data Analyst,Gadget Express,"Problem solving with the schools data and identifying solutions.To analyse data, solve problems and prepare reports as required.PostedPosted 30+ days ago·More...View all Gadget Express jobs - Dubai jobsSalary Search: Data Analyst salaries in Dubai"
43,Analyst Logistics Performance,Talabat,"Get hands dirty with the data extraction from big data sources like AWS Redshift, Big Query, etc.Optimise our KPI dashboard with continuous flow of data.PostedPosted 6 days ago·More...View all Talabat jobs - Dubai jobsSalary Search: Analyst Logistics Performance salaries in DubaiSee popular questions & answers about Talabat"
44,Financial Analyst - Dubai,Aspen Pharma Group,"Prepare, review and present variety of complex financial data for review by Management along with commentary and recommendations.PostedPosted 14 days ago·More...View all Aspen Pharma Group jobs - Dubai jobsSalary Search: Financial Analyst - Dubai salaries in Dubai"
45,Junior Data Analyst - Weber Shandwick (Powered by Qureos),Qureos,"Ability to collect data from multiple sources, generate relevant data for analysis, and to interpret collected data using statistical tools.PostedPosted 20 days ago·More...View all Qureos jobs - Dubai jobsSalary Search: Junior Data Analyst - Weber Shandwick (Powered by Qureos) salaries in Dubai"
46,Data Analyst,Hiring organization,Do data mining and modelling to create data modelling and analyses of both structured and unstructured data.CRM packaged software Data warehouse and data lakes…PostedPosted 30+ days ago·More...View all Hiring organization jobs - Dubai jobsSalary Search: Data Analyst salaries in Dubai
47,2023 Corporate & Investment Bank - Investment Banking Analys...,"JPMorgan Chase Bank, N.A.","Analysing market data, building detailed financial models and preparing client presentations for mergers and acquisitions, leveraged buyouts and capital markets…PostedPosted 26 days ago·More...View all JPMorgan Chase Bank, N.A. jobs - Dubai jobsSalary Search: 2023 Corporate & Investment Bank - Investment Banking Analyst Program - Off-Cycle Internship (January-June) - Dubai salaries in DubaiSee popular questions & answers about JPMorgan Chase Bank, N.A."
48,Data Analyst and BI Professional,farnek.com,"Good background in the analysis of employee data and be able to produce reports from the system which are relevant to the company in terms of productivity, cost…PostedPosted 30+ days ago·More...View all farnek.com jobs - Dubai jobsSalary Search: Data Analyst and BI Professional salaries in Dubai"
49,Analyst – Trade Operations,Barclays,"The trade operations team manages the day to day functioning of Trade and Working capital requirement of Corporate, FI and NBFI clients by offering various…PostedPosted 3 days ago·More...View all Barclays jobs - Dubai jobsSalary Search: Analyst – Trade Operations salaries in DubaiSee popular questions & answers about Barclays"
50,Business Intelligence Analyst (Based in Dubai),Ingram Micro,"You are going to handle data management skills such as analysis, data quality, maintenance, and master data cleanup.You will analyze and interpret trends.PostedPosted 2 days ago·More...View all Ingram Micro jobs - Dubai jobsSalary Search: Business Intelligence Analyst (Based in Dubai) salaries in DubaiSee popular questions & answers about Ingram Micro"
51,Financial Analyst,pladis,Coordinate with respective departments to manage all the data sets for timely and accurate financial analysis and reporting.PostedPosted 7 days ago·More...View all pladis jobs - Dubai jobsSalary Search: Financial Analyst salaries in Dubai
52,Supply Chain Analyst,Bacardi,Compile and analyze data & review past sales data to determine trends & improve forecast bias of customers.High level of detail-orientation and data accuracy.PostedPosted 30+ days ago·More...View all Bacardi jobs - Dubai jobsSalary Search: Supply Chain Analyst salaries in Dubai
53,Data Analyst Lead - Binance (Powered by Qureos),Qureos,"Analyze and interpret large (PB-scale) volumes of transactional, operational and customer data using proprietary and open source data tools, platforms and…PostedPosted 20 days ago·More...View all Qureos jobs - Dubai jobsSalary Search: Data Analyst Lead - Binance (Powered by Qureos) salaries in Dubai"
54,FINANCIAL/BUSINESS ANALYST,SSC Perfumes & Cosmetics,Develop the brand analysis reporting suite based on data.Systems & data management experience in a finance/commercial environment.PostedPosted 24 days ago·More...View all SSC Perfumes & Cosmetics jobs - Dubai jobsSalary Search: FINANCIAL/BUSINESS ANALYST salaries in DubaiSee popular questions & answers about SSC Perfumes & Cosmetics
55,System Analyst | IKEA Service Office | Festival PLAZA Jebel...,IKEA,"Gather and effectively use data to deliver continuous improvement.Utilizing computer technology used for communication, data gathering ,application testing and…PostedPosted 10 days ago·More...View all IKEA jobs - Dubai jobsSalary Search: System Analyst | IKEA Service Office | Festival PLAZA Jebel Ali | Dubai salaries in DubaiSee popular questions & answers about IKEA"
56,Finance Analyst,Majid Al Futtaim,Acquire data from primary or secondary data sources and maintain databases.Strong understanding of data modeling.Consistency and comparability of reports.PostedPosted 5 days ago·More...View all Majid Al Futtaim jobs - Dubai jobsSalary Search: Finance Analyst salaries in DubaiSee popular questions & answers about Majid Al Futtaim
57,Data Analyst,Gadget Express,"Problem solving with the schools data and identifying solutions.To analyse data, solve problems and prepare reports as required.PostedPosted 30+ days ago·More...View all Gadget Express jobs - Dubai jobsSalary Search: Data Analyst salaries in Dubai"
58,Analyst Logistics Performance,Talabat,"Get hands dirty with the data extraction from big data sources like AWS Redshift, Big Query, etc.Optimise our KPI dashboard with continuous flow of data.PostedPosted 6 days ago·More...View all Talabat jobs - Dubai jobsSalary Search: Analyst Logistics Performance salaries in DubaiSee popular questions & answers about Talabat"
59,Financial Analyst - Dubai,Aspen Pharma Group,"Prepare, review and present variety of complex financial data for review by Management along with commentary and recommendations.PostedPosted 14 days ago·More...View all Aspen Pharma Group jobs - Dubai jobsSalary Search: Financial Analyst - Dubai salaries in Dubai"
